index	FPKM	status	genome
Garb_01G008190.1	0.0	A	A
Garb_01G008200.1	13.523318	A	A
Garb_01G008210.1	18.925777	A	A
Garb_01G008220.1	15.709049	A	A
Garb_01G008230.1	2.427603	A	A
Garb_01G008240.1	2.646549	A	A
Garb_01G008250.1	0.0	B	A
Garb_01G008260.1	29.876108	A	A
Garb_01G008270.1	0.0	A	A
Garb_01G008280.1	8.272432	A	A
Garb_01G008290.1	40.449615	A	A
Garb_01G008300.1	0.787176	A	A
Garb_01G008310.1	3.682611	A	A
Garb_01G008320.1	0.0	A	A
Garb_01G008330.1	21.591026	A	A
Garb_01G008340.1	0.000000	A	A
Garb_01G008350.1	0.000000	A	A
Garb_01G008360.1	3.970854	A	A
Garb_01G008370.1	21.756535	A	A
Garb_01G008380.1	0.0	A	A
Garb_01G008390.1	0.107007	A	A
Garb_01G008400.1	11.806434	A	A
Garb_01G008410.1	6.466732	A	A
Garb_01G008420.1	6.168319	A	A
Garb_01G008430.1	15.947683	A	A
Garb_01G008440.1	6.530966	A	A
Garb_01G008450.1	0.0	A	A
Garb_01G008460.1	0.000000	A	A
Garb_01G008470.1	0.0	A	A
Garb_01G008480.1	10.983672	A	A
Garb_01G008490.1	0.0	A	A
Garb_01G008500.1	3.630512	A	A
Garb_01G008510.1	8.290760	A	A
Garb_01G008520.1	1.113601	A	A
Garb_01G008530.1	3.158313	A	A
Garb_01G008540.1	0.0	A	A
Garb_01G008550.1	3.303042	A	A
Garb_01G008560.1	7.136659	A	A
Garb_01G008570.1	0.0	A	A
Garb_01G008580.1	0.0	A	A
Garb_01G008590.1	124.692444	A	A
Garb_01G008600.1	0.044654	A	A
Garb_01G008610.1	34.346458	A	A
Garb_01G008620.1	1.500115	A	A
Garb_01G008630.1	0.0	A	A
Garb_01G008640.1	0.0	A	A
Garb_01G008650.1	0.0	A	A
Garb_01G008660.1	4.151058	A	A
Garb_01G008670.1	29.457508	A	A
Garb_01G008680.1	9.649734	A	A
Garb_01G008690.1	0.0	A	A
Garb_01G008700.1	0.0	A	A
Garb_01G008710.1	9.693528	A	A
Garb_01G008720.1	37.967079	A	A
